Date,Close,High,Low,Open,Volume,year,month,day,lag_1,lag_2,lag_3,price_change,ma_7,ma_14,std_7
2021-05-27,896.0255737304688,903.6885320706948,889.7455387788042,893.3956745411289,26819294,2021.0,5.0,27.0,893.2822265625,890.153564453125,900.3557739257812,2.74334716796875,899.0861729213169,889.6904427664621,6.41666621538329
2021-05-28,949.847900390625,954.4728770763433,902.3283098557292,902.3283098557292,56469931,2021.0,5.0,28.0,896.0255737304688,893.2822265625,890.153564453125,53.82232666015625,905.4180385044643,894.9713003976004,20.41931481320038
2021-05-31,979.5474853515624,993.7852201877816,945.42680317027,953.1124286476038,59124142,2021.0,5.0,31.0,949.847900390625,896.0255737304688,893.2822265625,29.699584960937386,916.747331891741,902.5533142089844,34.33076430721741
2021-06-01,983.447021484375,998.4555855632798,973.290112651038,982.1320420491826,28013832,2021.0,6.0,1.0,979.5474853515624,949.847900390625,896.0255737304688,3.8995361328126137,927.5227922712054,910.1887642996652,42.09413210312399
2021-06-02,998.1155395507812,1001.8563467317178,978.0511883191928,978.0511883191928,24630162,2021.0,6.0,2.0,983.447021484375,979.5474853515624,949.847900390625,14.66851806640625,941.4884730747768,919.5197317940848,47.45436956634987
2021-06-03,1001.9244384765624,1020.2203933832268,995.7804709778904,1007.0708373167108,23974257,2021.0,6.0,3.0,998.1155395507812,983.447021484375,979.5474853515624,3.8088989257811363,957.4557407924107,928.3405892508371,46.086984330221675
2021-06-04,993.2412719726562,1005.0077850362732,990.4073013674443,1004.25962351292,14468646,2021.0,6.0,4.0,1001.9244384765624,998.1155395507812,983.447021484375,-8.683166503906136,971.7356044224331,935.794682094029,37.592161248758835
2021-06-07,1009.9727172851562,1016.5928305525484,990.747259262441,998.4556127916534,16336573,2021.0,6.0,7.0,993.2412719726562,1001.9244384765624,998.1155395507812,16.7314453125,988.0137677873884,943.5499703543527,19.808421437448203
2021-06-08,1004.1688842773438,1009.8594330639162,996.7099374722952,1009.6100858849402,9674735,2021.0,6.0,8.0,1009.9727172851562,993.2412719726562,1001.9244384765624,-5.8038330078125,995.773908342634,950.5959734235491,11.083450452949258
2021-06-09,986.2130126953124,1007.0708023507112,978.4819907883092,1006.1639653966724,11409161,2021.0,6.0,9.0,1004.1688842773438,1009.9727172851562,993.2412719726562,-17.955871582031364,996.7261265345982,956.7367292131696,9.650769656318698
